Partizanske;Trenciansky;342;265;86;2069;357;352;44;2197;300;319;34;1659;183;266;29;1396;165;242;20;1217;130;186;21;1026;108;142;18;821;89;177;18;622;132;301;22;947;164;337;21;1438;140;319;26;1478;111;368;16;1678;137;269;18;1625;125;248;11;1435;108;179;10;1156;56;135;7;724
Povazska Bystrica;Trenciansky;398;270;26;1781;373;446;15;1785;286;331;4;1564;223;231;5;1287;225;266;5;1174;179;195;2;990;120;139;6;697;103;212;2;692;162;447;8;1128;189;446;6;1822;210;405;8;1867;187;399;9;2042;222;347;5;2002;228;370;1;1838;185;240;1;1382;138;190;1;948
Prievidza;Trenciansky;1335;601;105;3352;1190;943;54;3594;1029;712;22;2484;805;700;29;2418;710;659;20;2466;615;486;30;2219;491;375;23;1961;340;445;31;1619;433;863;31;2143;483;895;36;3487;673;844;21;3831;572;941;13;4597;794;834;17;4977;811;781;32;4818;653;522;20;4074;453;359;26;2691
Puchov;Trenciansky;313;178;43;855;310;233;7;669;195;202;11;568;152;143;3;633;126;96;7;512;105;60;4;420;86;78;7;346;50;73;7;325;86;165;8;459;83;221;6;752;95;186;4;724;57;259;3;783;96;226;3;879;93;204;3;829;79;146;1;594;72;93;5;402
Trencin;Trenciansky;106;342;33;911;90;523;11;726;149;400;11;538;152;303;5;703;111;194;1;649;80;152;3;455;78;124;3;358;54;231;6;319;110;584;12;639;109;593;5;1333;158;609;8;1386;124;597;9;1868;164;528;7;2025;176;460;4;1941;170;312;11;1440;117;218;3;852
Komarno;Nitriansky;403;479;225;6862;410;756;110;7744;324;579;52;6269;253;286;56;4474;168;171;56;2957;120;196;43;2342;99;167;44;1887;80;262;33;1635;104;500;50;2526;128;541;46;4271;136;576;41;4555;106;700;54;5727;137;547;65;6137;162;471;66;5496;156;343;44;4717;117;221;38;3220
Levice;Nitriansky;643;499;208;7571;622;974;95;8865;475;801;36;8509;308;726;40;7224;269;559;57;5795;223;443;63;5229;196;351;68;4543;134;447;58;3768;190;706;49;4434;201;670;65;5323;225;701;69;5374;182;771;71;5425;203;558;56;4858;217;517;55;4736;183;336;43;3995;124;254;30;3067
Nitra;Nitriansky;909;811;214;6149;849;1246;138;6269;699;944;44;5309;624;804;24;4600;452;543;28;3679;286;361;24;2350;223;243;24;1571;162;359;26;1108;257;681;35;1509;277;650;32;2362;273;753;37;2498;198;789;54;3239;264;761;32;3198;225;616;36;3076;214;425;28;2561;150;322;19;1629
Nove Zamky;Nitriansky;1051;697;197;9187;996;1200;74;9543;725;924;38;7960;479;651;53;6610;346;517;56;5245;261;365;55;4321;191;288;47;3040;156;390;36;2327;187;738;40;3169;176;835;31;4551;215;871;52;5159;132;934;27;5990;167;709;49;4958;198;599;48;4520;185;469;36;3987;122;330;27;2550
Sala;Nitriansky;304;225;100;2970;240;412;70;3007;194;277;21;2691;171;244;23;2152;152;239;30;1998;100;136;22;1638;74;115;17;1283;59;149;11;823;68;238;14;842;56;273;13;1157;67;261;11;1274;50;294;15;1486;68;207;13;1151;50;174;7;984;63;176;16;892;45;99;10;638
Topolcany;Nitriansky;410;374;77;3149;412;648;32;3097;305;493;31;2490;271;474;17;2141;239;475;12;2047;189;323;11;1525;121;250;14;1247;122;295;18;1106;163;503;14;1471;157;506;23;2000;183;452;19;2052;131;310;16;2534;198;435;18;2528;179;436;14;2425;159;276;14;1886;100;217;8;1262
Zlate Moravce;Nitriansky;314;213;55;2414;366;438;23;2969;305;378;20;2549;244;295;11;2183;176;214;7;1510;89;143;9;922;53;100;13;636;46;136;15;458;67;240;4;760;57;241;13;922;76;250;9;878;54;289;18;1088;53;225;6;1154;59;208;5;1147;56;160;5;911;48;73;2;577
Bytca;Zilinsky;188;120;31;887;167;244;4;830;135;209;7;794;89;192;7;907;61;150;4;743;35;67;9;642;27;70;2;439;32;91;10;421;44;242;11;698;43;228;4;1091;51;205;4;1123;43;146;5;1243;61;228;3;1291;82;204;0;1140;73;136;2;860;54;105;5;627
Cadca;Zilinsky;667;473;101;2889;635;756;32;2814;455;471;27;2222;330;404;7;2019;246;416;14;1876;212;318;11;1494;142;240;14;1130;130;319;13;1014;209;711;15;1383;216;773;13;2161;221;954;12;2168;210;606;15;2684;263;766;16;2836;323;706;7;3074;276;474;10;2467;199;282;11;1554
Dolny Kubin;Zilinsky;211;210;35;1815;208;343;10;1608;180;228;12;1351;152;210;7;1266;132;151;3;1076;88;104;3;798;68;100;3;568;77;146;5;557;106;254;9;810;117;283;4;1175;117;268;6;1145;97;287;3;1389;112;269;3;1401;141;239;6;1316;125;168;3;1033;106;152;1;789
Kysucke Nove Mesto;Zilinsky;275;155;36;1550;275;290;12;1612;225;191;9;1274;149;170;7;1153;132;145;12;1042;109;93;11;824;70;77;11;643;51;134;6;552;87;236;12;759;96;183;9;1044;75;202;7;969;59;196;7;1174;76;180;5;1252;68;195;9;1246;67;152;2;935;68;93;6;726
Liptovsky Mikulas;Zilinsky;244;300;120;2132;252;487;68;2447;230;338;48;2216;172;271;43;1962;152;273;47;1689;122;212;41;1519;87;153;30;1164;84;185;40;1152;130;405;52;1471;167;381;50;2218;180;402;59;2390;138;332;54;2884;161;356;63;2860;208;300;51;2631;193;235;51;2040;143;189;43;1579
Martin;Zilinsky;511;467;120;3704;466;804;66;4160;387;590;51;3242;261;568;26;2759;266;461;19;2331;183;299;23;1688;148;221;10;1293;130;267;21;1085;168;526;29;1491;173;514;25;2109;199;437;28;2109;141;496;24;2329;181;425;19;2235;212;372;13;1957;146;235;13;1183;97;168;9;833
Namestovo;Zilinsky;351;317;85;1681;331;348;36;1319;270;239;29;952;142;252;19;847;117;237;10;914;80;191;7;745;95;157;11;576;82;216;13;559;138;447;22;783;166;571;21;1178;140;616;14;1173;113;674;16;1525;177;642;16;1875;238;474;6;1790;164;324;5;1100;121;244;8;675
